"X","id","source","source_id","bioguide_id","text","policy","policy_area","policy_legislative_discussion","policy_explanation","attack","attack_personal","attack_policy","attack_target","attack_explanation","outcome_bipartisanship","outcome_creditclaiming","outcome_explanation","date","bipartisanship_explanation","creditclaiming_explanation","year","first_name","last_name","state","type","tweet_id","url"
3997,1755003,"statements",32586,"B000944","“Ohio has a number of federal installations that deal with military secrets and sensitive technology, including Wright-Patterson Air Force Base. We can’t have cars and trucks traveling near—or even into places like Wright-Patterson that are collecting large amounts of data and then making that information available to the governments of China and other US adversaries.",1,"[""Armed Forces and National Security"", ""Science, Technology, Communications""]",NA,"The text discusses military security and concerns about data collection and technology related to national security.",NA,0,0,"","The text does not criticize any individual or political party. It addresses concerns about security and technology.",0,0,"","2024-07-24","The text does not mention or imply collaboration or cooperation between parties.","The text does not take credit for any legislation or accomplishments.",2024,"Sherrod","Brown","OH","sen",1572284928858939392,""
502460,390851,"floor",14916,"B001299","I appreciate the support for the bill. I hope that the people's House will pass it today so that we can fix this unintentional problem and do something important to help our veterans.",1,"['Armed Forces and National Security']",1,"References support for a bill related to veterans.",0,0,0,NA,"The text is expressing gratitude and hope for a bill to be passed that will assist veterans. It does not contain any personal attacks or criticism of policy.",0,0,"No mention of cross-party cooperation or personal accomplishments.","2023-03-07","No mention of cross-party cooperation or personal accomplishments.","No mention of cross-party cooperation or personal accomplishments.",2023,"Jim","Banks","IN","rep",1567248352059822080,""
366362,1666746,"newsletters",27791,"B001301","""This is the first PTSD innovation in 23 years, offering curative rather than palliative potential for those who suffer,"" said Congressman Lou Correa , co-founder of the Congressional PATH Caucus. ""Nothing could be more important than addressing the invisible wounds of war, so that our veterans can begin the healing process.",1,"[""Health"", ""Armed Forces and National Security""]",NA,"The text discusses a new PTSD treatment innovation, which pertains to 'Health', and emphasizes its importance for veterans, fitting under 'Armed Forces and National Security'.",NA,0,0,"","The text discusses a new innovation for PTSD treatment and its importance for veterans, without attacking any person or political party.",0,1,"","2024-07-10","The text does not discuss or mention bipartisanship, cooperation, or working across the aisle.","Congressman Lou Correa takes credit as a co-founder of the Congressional PATH Caucus and mentions the significance of the PTSD innovation.",2024,"Jack","Bergman","MI","rep",1570100496509112320,""
439462,28289,"statements",10938,"S001198","“We were down on the floor two weeks ago, and at that time we promised military members and their families that we had their back, that we would keep coming down to the Senate floor to try to move forward their nominations and confirmations that have been stalled. We told them we're going to do that…My colleagues and I will keep our word.",1,"['Armed Forces and National Security']",0,"Discusses military member support, not specific legislation.",0,0,0,NA,"This text does not make a personal attack on any individual or political party. It simply outlines a commitment made by the speaker to military members and their families regarding the movement of nominations and confirmations. There is no negative language targeting the character, integrity, intelligence, morality, or patriotism of a person or a political party. Additionally, there is no criticism of policy or legislation expressed in this statement.",0,1,"No mention of cross-party cooperation; claims effort to move nominations.","2023-11-17","No mention of cross-party cooperation; claims effort to move nominations.","No mention of cross-party cooperation; claims effort to move nominations.",2023,"Dan","Sullivan","AK","sen",1570862123185762304,""
27927,1774561,"statements",33763,"W000437","TUPELO –The US Commerce Department has announced that Vietnam will remain classified as a “non-market economy” despite their efforts to be removed from the list. Vietnam is one of 12 economies labeled by our federal government as “non-market” including Russia, China, and North Korea.",1,"[""Commerce"", ""Foreign Trade and International Finance""]",NA,"The text discusses the classification of economies by the US Commerce Department and mentions specific countries affected, indicating a focus on trade and economic policies.",NA,0,0,"","The text does not question the character, integrity, intelligence, morality, or patriotism of any person or political party.",0,0,"","2024-08-02","The text does not mention bipartisanship, collaboration, cooperation, compromise, or willingness to find common ground between Democrats and Republicans.","The text does not discuss taking credit for creating or passing legislation, government spending, grants, or accomplishments of a politician.",2024,"Roger","Wicker","MS","sen",1572982001606529024,""
725203,1099212,"newsletters",6952,"A000148"," LAST 2 WEEKS IN REVIEW I'm your representative in Congress and I write to keep you informed. On the Hill China Select Committee Hearing: Last week, I participated in the Select Committee on Strategic Competition between the US and the Chinese Communist Party's first hearing, where we discussed the CCP's threat to America.",1,"['International Affairs', 'Armed Forces and National Security']",0,"Discussion of international competition and security.",0,0,1,NA,"The text is not a personal attack but rather a policy criticism focusing on the strategic competition and perceived threat from the Chinese Communist Party to America. It does not attack the character, integrity, intelligence, morality, or patriotism of a person or a political party.",0,1,"Text describes participation, no bipartisan elements.","2023-03-10","Text describes participation, no bipartisan elements.","Text describes participation, no bipartisan elements.",2023,"Jake","Auchincloss","MA","rep",1567540923172638720,""
419868,96952,"newsletters",19783,"S001196","? Secures funding for the 10th Mountain Division's Engineer's land surveying equipment.",1,"['Armed Forces and National Security']",0,"Mentions military funding, but no specific legislation.",0,0,0,NA,"The text describes an action related to securing funding for land surveying equipment. There are no personal attacks or character judgments made against any individual or political party, nor is there any policy criticism.",0,1,"Text claims credit for securing funding.","2023-12-23","Text claims credit for securing funding.","Text claims credit for securing funding.",2023,"Elise","Stefanik","NY","rep",1577354613124112384,""
322324,1801045,"statements",34530,"S001198","“The need to build up our icebreaking capacity could not be more urgent: Just days ago, the Healy had to abort its summer Arctic patrol due to a fire, and the 50-year-old Polar Star remains out of commission undergoing its own repairs. Our national security interests in the Arctic have also never been more critical, demonstrated by the joint Russian and Chinese naval and air task forces that have operated off Alaska’s coastline these past two years.",1,"[""Armed Forces and National Security""]",NA,"Discusses national security interests and icebreaking capacity related to military operations in the Arctic.",NA,0,0,"","The text discusses national security and icebreaking capacity issues without targeting any individual or party personally.",0,0,"","2024-08-14","The text does not discuss bipartisanship or cooperation between political parties.","The text does not attribute credit for a legislative or policy accomplishment.",2024,"Dan","Sullivan","AK","sen",1568988727002677248,""
213340,308438,"floor",25486,"M001169","Mexico has essentially eliminated the commercial trade of firearms. You can't buy a firearm in the commercial market, for all intents and purposes, in Mexico today.",1,"['Armed Forces and National Security', 'Crime and Law Enforcement', 'International Affairs']",0,"References firearms policy without specific legislation.",0,0,0,NA,"The text is a statement of fact about firearm commerce regulations in Mexico and does not include any attack or criticism towards a person or political party. It is a neutral statement and does not comment on policy, character, integrity, intelligence, morality, or patriotism of any individual or group.",0,0,"Text lacks bipartisanship elements or credit-claiming language.","2023-09-27","Text lacks bipartisanship elements or credit-claiming language.","Text lacks bipartisanship elements or credit-claiming language.",2023,"Christopher","Murphy","CT","sen",1569827137590288384,""
67617,1107747,"newsletters",6444,"B001267","A dedicated National Guard for the Space Force would help talented active-duty Space Force personnel transition to civilian careers, ensuring they are able to continue serving their country as well as their states. It is critically important that our military stands ready to defend American leadership in space.",1,"['Armed Forces and National Security']",0,"Discusses military readiness and personnel.",0,0,0,NA,"The text does not make a personal attack as it does not target the character, integrity, intelligence, morality, or patriotism of a person or a political party. It is also not a criticism of policy or legislation but rather a suggestion for improving military readiness regarding the Space Force.",0,0,"No mention of interparty cooperation or accomplishments.","2023-02-26","No mention of interparty cooperation or accomplishments.","No mention of interparty cooperation or accomplishments.",2023,"Michael","Bennet","CO","sen",1581036667317932032,""
