"","date","bioguide_id","count_protest","count_protest_size","count_non_normative","count_violent","count_palestine_protests","size_palestine_protests","non_normative_palestine_protests","violent_palestine_protests","count_israel_protests","size_israel_protests","non_normative_israel_protests","violent_israel_protests","count_neutral_protests","size_neutral_protests","non_normative_neutral_protests","violent_neutral_protests"
"1","2023-01-06","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"2","2023-01-06","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"3","2023-01-06","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"4","2023-01-12","T000481",1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0
"5","2023-01-13","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"6","2023-01-13","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"7","2023-01-13","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"8","2023-01-20","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"9","2023-01-20","M001211",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"10","2023-01-20","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"11","2023-01-21","D000399",1,125,0,0,1,125,0,0,0,0,0,0,0,0,0,0
"12","2023-01-21","G000599",1,125,0,0,1,125,0,0,0,0,0,0,0,0,0,0
"13","2023-01-27","G000551",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"14","2023-01-27","M001143",1,9,0,0,1,9,0,0,0,0,0,0,0,0,0,0
"15","2023-01-27","P000607",1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"16","2023-01-27","W000828",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
"17","2023-01-29","D000096",1,24,0,0,1,24,0,0,0,0,0,0,0,0,0,0
"18","2023-01-29","G000599",1,250,0,0,1,250,0,0,0,0,0,0,0,0,0,0
"19","2023-01-30","E000296",1,45,0,0,1,45,0,0,0,0,0,0,0,0,0,0
