"","date","bioguide_id","count_statement","sum_legislative_discussion","sum_bipartisan","sum_attack","sum_floor","sum_newsletters","sum_source_statements"
"1","2023-01-11","T000481",2,0,0,0,2,0,0
"2","2023-01-13","L000583",1,1,0,0,0,1,0
"3","2023-01-22","G000597",1,0,0,0,0,1,0
"4","2023-01-25","A000148",2,2,1,0,2,0,0
"5","2023-01-25","T000487",1,0,0,0,1,0,0
"6","2023-01-26","W000795",1,0,0,0,1,0,0
"7","2023-01-27","S000344",1,0,0,0,0,0,1
"8","2023-01-28","T000469",1,0,0,0,0,1,0
"9","2023-01-28","T000478",1,1,1,0,0,1,0
"10","2023-01-30","M001199",1,1,0,0,0,1,0
"11","2023-02-01","P000197",1,0,0,0,0,0,1
"12","2023-02-01","R000610",3,0,0,0,3,0,0
"13","2023-02-02","G000565",1,0,0,0,0,1,0
"14","2023-02-02","G000593",1,0,0,0,1,0,0
"15","2023-02-02","K000392",1,0,0,0,1,0,0
"16","2023-02-02","M001222",1,0,0,0,1,0,0
"17","2023-02-02","S000344",1,1,0,0,1,0,0
"18","2023-02-02","W000795",1,0,0,0,1,0,0
"19","2023-02-03","G000589",1,0,0,1,0,1,0
"20","2023-02-03","L000564",6,0,1,0,0,4,2
"21","2023-02-03","P000048",2,1,0,0,0,2,0
"22","2023-02-05","S001214",1,1,0,0,0,1,0
"23","2023-02-06","W000795",3,0,0,0,3,0,0
"24","2023-02-09","G000576",1,0,0,0,1,0,0
"25","2023-02-09","K000392",3,2,1,0,0,0,3
"26","2023-02-10","N000002",1,0,0,0,0,1,0
"27","2023-02-10","T000165",1,1,0,0,0,1,0
"28","2023-02-12","J000295",2,2,1,0,0,2,0
"29","2023-02-16","C001132",1,0,0,0,0,1,0
"30","2023-02-17","T000165",1,0,0,0,0,1,0
"31","2023-02-17","W000828",1,0,0,0,0,1,0
"32","2023-02-23","M001212",1,0,0,0,0,0,1
"33","2023-02-24","A000148",1,0,1,0,0,1,0
"34","2023-02-26","G000565",1,0,0,0,0,1,0
"35","2023-02-26","G000597",1,0,1,0,0,1,0
"36","2023-02-27","M001195",1,0,0,0,0,1,0
"37","2023-02-27","W000795",1,0,0,0,1,0,0
"38","2023-02-28","L000564",3,0,2,0,0,3,0
"39","2023-03-01","C001115",4,0,0,0,0,4,0
"40","2023-03-03","L000266",2,1,0,0,0,2,0
"41","2023-03-03","L000599",1,0,0,0,0,1,0
"42","2023-03-03","P000048",3,2,0,0,0,3,0
"43","2023-03-03","W000814",1,1,0,0,0,1,0
"44","2023-03-06","D000600",1,0,0,0,0,1,0
"45","2023-03-08","G000578",1,0,0,0,1,0,0
"46","2023-03-08","L000564",9,8,1,0,0,9,0
"47","2023-03-08","N000002",1,0,0,0,1,0,0
"48","2023-03-08","T000486",1,1,1,0,0,1,0
"49","2023-03-09","K000376",1,1,1,0,0,1,0
"50","2023-03-09","M001177",3,2,0,0,1,0,2
"51","2023-03-09","P000613",2,0,0,0,0,0,2
"52","2023-03-10","H001072",30,22,8,0,30,0,0
"53","2023-03-10","K000399",24,0,0,0,24,0,0
"54","2023-03-10","L000599",2,1,0,0,0,2,0
"55","2023-03-10","M001177",1,1,0,0,0,1,0
"56","2023-03-12","G000565",1,0,0,0,0,1,0
"57","2023-03-12","G000590",1,1,0,0,0,1,0
"58","2023-03-13","K000399",1,0,0,0,0,1,0
"59","2023-03-14","R000614",1,1,0,0,0,1,0
"60","2023-03-19","G000565",1,0,0,0,0,1,0
"61","2023-03-24","W000795",4,4,1,0,0,0,4
"62","2023-03-27","H001081",2,0,0,0,0,2,0
"63","2023-03-27","W000795",1,0,0,0,1,0,0
"64","2023-03-28","L000564",7,7,4,0,0,7,0
"65","2023-03-31","E000071",1,1,0,0,0,1,0
"66","2023-03-31","K000376",1,1,0,0,0,1,0
"67","2023-04-02","M001215",1,1,0,0,0,1,0
"68","2023-04-07","W000795",1,0,0,0,0,0,1
"69","2023-04-11","M001199",2,2,1,0,0,2,0
"70","2023-04-18","G000593",2,0,0,0,0,2,0
"71","2023-04-19","L000601",1,1,1,0,0,1,0
"72","2023-04-19","S001190",1,1,0,0,0,1,0
"73","2023-04-20","C001067",1,0,0,0,0,1,0
"74","2023-04-21","S001176",1,1,0,0,0,1,0
"75","2023-04-21","S001190",1,1,1,0,0,0,1
"76","2023-04-24","R000600",2,0,0,0,0,2,0
"77","2023-04-24","S001176",1,1,0,0,0,1,0
"78","2023-04-24","W000812",2,1,0,0,0,2,0
"79","2023-04-26","C001132",4,0,0,0,0,4,0
"80","2023-04-26","G000593",1,1,0,0,0,1,0
"81","2023-04-26","M000871",1,0,0,0,0,1,0
"82","2023-04-26","S000522",3,2,0,0,0,0,3
"83","2023-04-28","L000599",1,0,1,0,0,1,0
"84","2023-04-28","M001143",3,0,0,0,0,0,3
"85","2023-04-28","M001199",1,1,0,0,0,1,0
"86","2023-04-28","W000814",4,2,0,0,0,4,0
"87","2023-04-29","F000468",5,1,0,0,0,5,0
"88","2023-04-29","T000478",2,2,0,0,0,2,0
"89","2023-04-30","C001132",1,0,0,0,0,1,0
"90","2023-04-30","G000565",2,2,0,0,0,2,0
"91","2023-04-30","H001096",1,1,0,0,0,1,0
"92","2023-04-30","M001215",1,1,0,0,0,1,0
"93","2023-04-30","W000828",1,0,0,0,0,1,0
"94","2023-05-01","C001061",1,1,0,0,0,1,0
"95","2023-05-01","H001066",3,0,0,0,0,3,0
"96","2023-05-01","S001190",1,1,0,0,0,1,0
"97","2023-05-01","W000812",2,2,1,0,0,2,0
"98","2023-05-02","B001311",1,1,0,0,0,1,0
"99","2023-05-02","C001133",1,1,0,0,0,1,0
"100","2023-05-02","G000582",1,1,0,0,0,1,0
"101","2023-05-02","P000613",1,1,0,0,0,0,1
"102","2023-05-02","S001190",1,1,0,0,0,0,1
"103","2023-05-04","W000795",1,0,0,0,0,0,1
"104","2023-05-05","M001143",1,1,0,0,0,1,0
"105","2023-05-05","S001135",1,0,0,0,0,1,0
"106","2023-05-05","S001172",1,1,0,0,0,0,1
"107","2023-05-06","L000599",2,0,0,0,0,2,0
"108","2023-05-06","S001172",1,1,0,0,0,1,0
